'=Observacion	Vista_exterior	Temperatura	Humedad	Viento	*Jugar_tenis
382	3	2	1	1	1
383	3	3	2	1	1
384	3	3	2	2	0
385	2	3	2	2	1
386	1	2	1	1	0
387	1	3	2	1	1
388	3	2	2	1	1
389	1	2	2	2	1
390	2	2	1	2	1
391	2	1	2	1	1
392	3	2	1	2	0
393	1	1	1	1	0
394	1	1	1	2	0
395	2	1	1	1	1
396	3	2	1	1	1
397	3	3	2	1	1
398	3	3	2	2	0
399	2	3	2	2	1
400	1	2	1	1	0
401	1	3	2	1	1
402	3	2	2	1	1
403	1	2	2	2	1
404	2	2	1	2	1
405	2	1	2	1	1
406	3	2	1	2	0
407	1	1	1	1	0
408	1	1	1	2	0
409	2	1	1	1	1
410	3	2	1	1	1
411	3	3	2	1	1
412	3	3	2	2	0
413	2	3	2	2	1
414	1	2	1	1	0
415	1	3	2	1	1
416	3	2	2	1	1
417	1	2	2	2	1
418	2	2	1	2	1
419	2	1	2	1	1
420	3	2	1	2	0
421	1	1	1	1	0
422	1	1	1	2	0
423	2	1	1	1	1
424	3	2	1	1	1
425	3	3	2	1	1
426	3	3	2	2	0
427	2	3	2	2	1
428	1	2	1	1	0
429	1	3	2	1	1
430	3	2	2	1	1
431	1	2	2	2	1
432	2	2	1	2	1
433	2	1	2	1	1
434	3	2	1	2	0
435	1	1	1	1	0
436	1	1	1	2	0
437	2	1	1	1	1
438	3	2	1	1	1
439	3	3	2	1	1
440	3	3	2	2	0
441	2	3	2	2	1
442	1	2	1	1	0
443	1	3	2	1	1
444	3	2	2	1	1
445	1	2	2	2	1
446	2	2	1	2	1
447	2	1	2	1	1
448	3	2	1	2	0
449	1	1	1	1	0
450	1	1	1	2	0
451	2	1	1	1	1
452	3	2	1	1	1
453	3	3	2	1	1
454	3	3	2	2	0
455	2	3	2	2	1
456	1	2	1	1	0
457	1	3	2	1	1
458	3	2	2	1	1
459	1	2	2	2	1
460	2	2	1	2	1
461	2	1	2	1	1
462	3	2	1	2	0
463	1	1	1	1	0
464	1	1	1	2	0
465	2	1	1	1	1
466	3	2	1	1	1
467	3	3	2	1	1
468	3	3	2	2	0
469	2	3	2	2	1
470	1	2	1	1	0
471	1	3	2	1	1
472	3	2	2	1	1
473	1	2	2	2	1
474	2	2	1	2	1
475	2	1	2	1	1
476	3	2	1	2	0
477	1	1	1	1	0
478	1	1	1	2	0
479	2	1	1	1	1
480	3	2	1	1	1
481	3	3	2	1	1
482	3	3	2	2	0
483	2	3	2	2	1
484	1	2	1	1	0
485	1	3	2	1	1
486	3	2	2	1	1
487	1	2	2	2	1
488	2	2	1	2	1
489	2	1	2	1	1
490	3	2	1	2	0
491	1	1	1	1	0
492	1	1	1	2	0
493	2	1	1	1	1
494	3	2	1	1	1
495	3	3	2	1	1
496	3	3	2	2	0
497	2	3	2	2	1
498	1	2	1	1	0
499	1	3	2	1	1
500	3	2	2	1	1
501	1	2	2	2	1
502	2	2	1	2	1
503	2	1	2	1	1
504	3	2	1	2	0
505	1	1	1	1	0
506	1	1	1	2	0
507	2	1	1	1	1
508	3	2	1	1	1
509	3	3	2	1	1
510	3	3	2	2	0
511	2	3	2	2	1
512	1	2	1	1	0
513	1	3	2	1	1
514	3	2	2	1	1
515	1	2	2	2	1
516	2	2	1	2	1
517	2	1	2	1	1
518	3	2	1	2	0
519	1	1	1	1	0
520	1	1	1	2	0
521	2	1	1	1	1
522	3	2	1	1	1
523	3	3	2	1	1
524	3	3	2	2	0
525	2	3	2	2	1
526	1	2	1	1	0
527	1	3	2	1	1
528	3	2	2	1	1
529	1	2	2	2	1
530	2	2	1	2	1
531	2	1	2	1	1
532	3	2	1	2	0
533	1	1	1	1	0
534	1	1	1	2	0
535	2	1	1	1	1
536	3	2	1	1	1
537	3	3	2	1	1
538	3	3	2	2	0
539	2	3	2	2	1
540	1	2	1	1	0
541	1	3	2	1	1
542	3	2	2	1	1
543	1	2	2	2	1
544	2	2	1	2	1
545	2	1	2	1	1
546	3	2	1	2	0
547	1	1	1	1	0
548	1	1	1	2	0
549	2	1	1	1	1
550	3	2	1	1	1
551	3	3	2	1	1
552	3	3	2	2	0
553	2	3	2	2	1
554	1	2	1	1	0
555	1	3	2	1	1
556	3	2	2	1	1
557	1	2	2	2	1
558	2	2	1	2	1
559	2	1	2	1	1
560	3	2	1	2	0
561	1	1	1	1	0
562	1	1	1	2	0
563	2	1	1	1	1
564	3	2	1	1	1
565	3	3	2	1	1
566	3	3	2	2	0
567	2	3	2	2	1
568	1	2	1	1	0
569	1	3	2	1	1
570	3	2	2	1	1
571	1	2	2	2	1
572	2	2	1	2	1
573	2	1	2	1	1
574	3	2	1	2	0
575	1	1	1	1	0
576	1	1	1	2	0
577	2	1	1	1	1
578	3	2	1	1	1
579	3	3	2	1	1
580	3	3	2	2	0
581	2	3	2	2	1
582	1	2	1	1	0
583	1	3	2	1	1
584	3	2	2	1	1
585	1	2	2	2	1
586	2	2	1	2	1
587	2	1	2	1	1
588	3	2	1	2	0
589	1	1	1	1	0
590	1	1	1	2	0
591	2	1	1	1	1
592	3	2	1	1	1
593	3	3	2	1	1
594	3	3	2	2	0
595	2	3	2	2	1
596	1	2	1	1	0
597	1	3	2	1	1
598	3	2	2	1	1
599	1	2	2	2	1
600	2	2	1	2	1
601	2	1	2	1	1
602	3	2	1	2	0
603	1	1	1	1	0
604	1	1	1	2	0
605	2	1	1	1	1
606	3	2	1	1	1
607	3	3	2	1	1
608	3	3	2	2	0
609	2	3	2	2	1
610	1	2	1	1	0
611	1	3	2	1	1
612	3	2	2	1	1
613	1	2	2	2	1
614	2	2	1	2	1
615	2	1	2	1	1
616	3	2	1	2	0
617	1	1	1	1	0
618	1	1	1	2	0
619	2	1	1	1	1
620	3	2	1	1	1
621	3	3	2	1	1
622	3	3	2	2	0
623	2	3	2	2	1
624	1	2	1	1	0
625	1	3	2	1	1
626	3	2	2	1	1
627	1	2	2	2	1
628	2	2	1	2	1
629	2	1	2	1	1
630	3	2	1	2	0
631	1	1	1	1	0
632	1	1	1	2	0
633	2	1	1	1	1
634	3	2	1	1	1
635	3	3	2	1	1
636	3	3	2	2	0
637	2	3	2	2	1
638	1	2	1	1	0
639	1	3	2	1	1
640	3	2	2	1	1
641	1	2	2	2	1
642	2	2	1	2	1
643	2	1	2	1	1
644	3	2	1	2	0
645	1	1	1	1	0
646	1	1	1	2	0
647	2	1	1	1	1
648	3	2	1	1	1
649	3	3	2	1	1
650	3	3	2	2	0
651	2	3	2	2	1
652	1	2	1	1	0
653	1	3	2	1	1
654	3	2	2	1	1
655	1	2	2	2	1
656	2	2	1	2	1
657	2	1	2	1	1
658	3	2	1	2	0
659	1	1	1	1	0
660	1	1	1	2	0
661	2	1	1	1	1
662	3	2	1	1	1
663	3	3	2	1	1
664	3	3	2	2	0
665	2	3	2	2	1
666	1	2	1	1	0
667	1	3	2	1	1
668	3	2	2	1	1
669	1	2	2	2	1
670	2	2	1	2	1
671	2	1	2	1	1
672	3	2	1	2	0
673	1	1	1	1	0
674	1	1	1	2	0
675	2	1	1	1	1
676	3	2	1	1	1
677	3	3	2	1	1
678	3	3	2	2	0
679	2	3	2	2	1
680	1	2	1	1	0
681	1	3	2	1	1
682	3	2	2	1	1
683	1	2	2	2	1
684	2	2	1	2	1
685	2	1	2	1	1
686	3	2	1	2	0
687	1	1	1	1	0
688	1	1	1	2	0
689	2	1	1	1	1
690	3	2	1	1	1
691	3	3	2	1	1
692	3	3	2	2	0
693	2	3	2	2	1
694	1	2	1	1	0
695	1	3	2	1	1
696	3	2	2	1	1
697	1	2	2	2	1
698	2	2	1	2	1
699	2	1	2	1	1
700	3	2	1	2	0
701	1	1	1	1	0
702	1	1	1	2	0
703	2	1	1	1	1
704	3	2	1	1	1
705	3	3	2	1	1
706	3	3	2	2	0
707	2	3	2	2	1
708	1	2	1	1	0
709	1	3	2	1	1
710	3	2	2	1	1
711	1	2	2	2	1
712	2	2	1	2	1
713	2	1	2	1	1
714	3	2	1	2	0
715	1	1	1	1	0
716	1	1	1	2	0
717	2	1	1	1	1
718	3	2	1	1	1
719	3	3	2	1	1
720	3	3	2	2	0
721	2	3	2	2	1
722	1	2	1	1	0
723	1	3	2	1	1
724	3	2	2	1	1
725	1	2	2	2	1
726	2	2	1	2	1
727	2	1	2	1	1
728	3	2	1	2	0
729	1	1	1	1	0
730	1	1	1	2	0
731	2	1	1	1	1
732	3	2	1	1	1
733	3	3	2	1	1
734	3	3	2	2	0
735	2	3	2	2	1
736	1	2	1	1	0
737	1	3	2	1	1
738	3	2	2	1	1
739	1	2	2	2	1
740	2	2	1	2	1
741	2	1	2	1	1
742	3	2	1	2	0
743	1	1	1	1	0
744	1	1	1	2	0
745	2	1	1	1	1
746	3	2	1	1	1
747	3	3	2	1	1
748	3	3	2	2	0
749	2	3	2	2	1
750	1	2	1	1	0
751	1	3	2	1	1
752	3	2	2	1	1
753	1	2	2	2	1
754	2	2	1	2	1
755	2	1	2	1	1
756	3	2	1	2	0
757	1	1	1	1	0
758	1	1	1	2	0
759	2	1	1	1	1
760	3	2	1	1	1
761	3	3	2	1	1
762	3	3	2	2	0
763	2	3	2	2	1
764	1	2	1	1	0
765	1	3	2	1	1
766	3	2	2	1	1
767	1	2	2	2	1
768	2	2	1	2	1
769	2	1	2	1	1
770	3	2	1	2	0
771	1	1	1	1	0
772	1	1	1	2	0
773	2	1	1	1	1
774	3	2	1	1	1
775	3	3	2	1	1
776	3	3	2	2	0
777	2	3	2	2	1
778	1	2	1	1	0
779	1	3	2	1	1
780	3	2	2	1	1
781	1	2	2	2	1
782	2	2	1	2	1
783	2	1	2	1	1
784	3	2	1	2	0
785	1	1	1	1	0
786	1	1	1	2	0
787	2	1	1	1	1
788	3	2	1	1	1
789	3	3	2	1	1
790	3	3	2	2	0
791	2	3	2	2	1
792	1	2	1	1	0
793	1	3	2	1	1
794	3	2	2	1	1
795	1	2	2	2	1
796	2	2	1	2	1
797	2	1	2	1	1
798	3	2	1	2	0
799	1	1	1	1	0
800	1	1	1	2	0
801	2	1	1	1	1
802	3	2	1	1	1
803	3	3	2	1	1
804	3	3	2	2	0
805	2	3	2	2	1
806	1	2	1	1	0
807	1	3	2	1	1
808	3	2	2	1	1
809	1	2	2	2	1
810	2	2	1	2	1
811	2	1	2	1	1
812	3	2	1	2	0
813	1	1	1	1	0
814	1	1	1	2	0
815	2	1	1	1	1
816	3	2	1	1	1
817	3	3	2	1	1
818	3	3	2	2	0
819	2	3	2	2	1
820	1	2	1	1	0
821	1	3	2	1	1
822	3	2	2	1	1
823	1	2	2	2	1
824	2	2	1	2	1
825	2	1	2	1	1
826	3	2	1	2	0
827	1	1	1	1	0
828	1	1	1	2	0
829	2	1	1	1	1
830	3	2	1	1	1
831	3	3	2	1	1
832	3	3	2	2	0
833	2	3	2	2	1
834	1	2	1	1	0
835	1	3	2	1	1
836	3	2	2	1	1
837	1	2	2	2	1
838	2	2	1	2	1
839	2	1	2	1	1
840	3	2	1	2	0
841	1	1	1	1	0
842	1	1	1	2	0
843	2	1	1	1	1
844	3	2	1	1	1
845	3	3	2	1	1
846	3	3	2	2	0
847	2	3	2	2	1
848	1	2	1	1	0
849	1	3	2	1	1
850	3	2	2	1	1
851	1	2	2	2	1
852	2	2	1	2	1
853	2	1	2	1	1
854	3	2	1	2	0
855	1	1	1	1	0
856	1	1	1	2	0
857	2	1	1	1	1
858	3	2	1	1	1
859	3	3	2	1	1
860	3	3	2	2	0
861	2	3	2	2	1
862	1	2	1	1	0
863	1	3	2	1	1
864	3	2	2	1	1
865	1	2	2	2	1
866	2	2	1	2	1
867	2	1	2	1	1
868	3	2	1	2	0
869	1	1	1	1	0
870	1	1	1	2	0
871	2	1	1	1	1
872	3	2	1	1	1
873	3	3	2	1	1
874	3	3	2	2	0
875	2	3	2	2	1
876	1	2	1	1	0
877	1	3	2	1	1
878	3	2	2	1	1
879	1	2	2	2	1
880	2	2	1	2	1
881	2	1	2	1	1
882	3	2	1	2	0
883	1	1	1	1	0
884	1	1	1	2	0
885	2	1	1	1	1
886	3	2	1	1	1
887	3	3	2	1	1
888	3	3	2	2	0
889	2	3	2	2	1
890	1	2	1	1	0
891	1	3	2	1	1
892	3	2	2	1	1
893	1	2	2	2	1
894	2	2	1	2	1
895	2	1	2	1	1
896	3	2	1	2	0
897	1	1	1	1	0
898	1	1	1	2	0
899	2	1	1	1	1
900	3	2	1	1	1
901	3	3	2	1	1
902	3	3	2	2	0
903	2	3	2	2	1
904	1	2	1	1	0
905	1	3	2	1	1
906	3	2	2	1	1
907	1	2	2	2	1
908	2	2	1	2	1
909	2	1	2	1	1
910	3	2	1	2	0
911	1	1	1	1	0
912	1	1	1	2	0
913	2	1	1	1	1
914	3	2	1	1	1
915	3	3	2	1	1
916	3	3	2	2	0
917	2	3	2	2	1
918	1	2	1	1	0
919	1	3	2	1	1
920	3	2	2	1	1
921	1	2	2	2	1
922	2	2	1	2	1
923	2	1	2	1	1
924	3	2	1	2	0
925	1	1	1	1	0
926	1	1	1	2	0
927	2	1	1	1	1
928	3	2	1	1	1
929	3	3	2	1	1
930	3	3	2	2	0
931	2	3	2	2	1
932	1	2	1	1	0
933	1	3	2	1	1
934	3	2	2	1	1
935	1	2	2	2	1
936	2	2	1	2	1
937	2	1	2	1	1
938	3	2	1	2	0
939	1	1	1	1	0
940	1	1	1	2	0
941	2	1	1	1	1
942	3	2	1	1	1
943	3	3	2	1	1
944	3	3	2	2	0
945	2	3	2	2	1
946	1	2	1	1	0
947	1	3	2	1	1
948	3	2	2	1	1
949	1	2	2	2	1
950	2	2	1	2	1
951	2	1	2	1	1
952	3	2	1	2	0
953	1	1	1	1	0
954	1	1	1	2	0
955	2	1	1	1	1
956	3	2	1	1	1
957	3	3	2	1	1
958	3	3	2	2	0
959	2	3	2	2	1
960	1	2	1	1	0
961	1	3	2	1	1
962	3	2	2	1	1
963	1	2	2	2	1
964	2	2	1	2	1
965	2	1	2	1	1
966	3	2	1	2	0
967	1	1	1	1	0
968	1	1	1	2	0
969	2	1	1	1	1
970	3	2	1	1	1
971	3	3	2	1	1
972	3	3	2	2	0
973	2	3	2	2	1
974	1	2	1	1	0
975	1	3	2	1	1
976	3	2	2	1	1
977	1	2	2	2	1
978	2	2	1	2	1
979	2	1	2	1	1
980	3	2	1	2	0
981	1	1	1	1	0
982	1	1	1	2	0
983	2	1	1	1	1
984	3	2	1	1	1
985	3	3	2	1	1
986	3	3	2	2	0
987	2	3	2	2	1
988	1	2	1	1	0
989	1	3	2	1	1
990	3	2	2	1	1
991	1	2	2	2	1
992	2	2	1	2	1
993	2	1	2	1	1
994	3	2	1	2	0
995	1	1	1	1	0
996	1	1	1	2	0
997	2	1	1	1	1
998	3	2	1	1	1
999	3	3	2	1	1
1000	3	3	2	2	0
1001	2	3	2	2	1
1002	1	2	1	1	0
1003	1	3	2	1	1
1004	3	2	2	1	1
1005	1	2	2	2	1
1006	2	2	1	2	1
1007	2	1	2	1	1
1008	3	2	1	2	0
1009	1	1	1	1	0
1010	1	1	1	2	0
1011	2	1	1	1	1
1012	3	2	1	1	1
1013	3	3	2	1	1
1014	3	3	2	2	0
1015	2	3	2	2	1
1016	1	2	1	1	0
1017	1	3	2	1	1
1018	3	2	2	1	1
1019	1	2	2	2	1
1020	2	2	1	2	1
1021	2	1	2	1	1
1022	3	2	1	2	0
1023	1	1	1	1	0
1024	1	1	1	2	0
1025	2	1	1	1	1
1026	3	2	1	1	1
1027	3	3	2	1	1
1028	3	3	2	2	0
1029	2	3	2	2	1
1030	1	2	1	1	0
1031	1	3	2	1	1
1032	3	2	2	1	1
1033	1	2	2	2	1
1034	2	2	1	2	1
1035	2	1	2	1	1
1036	3	2	1	2	0
1037	1	1	1	1	0
1038	1	1	1	2	0
1039	2	1	1	1	1
1040	3	2	1	1	1
1041	3	3	2	1	1
1042	3	3	2	2	0
1043	2	3	2	2	1
1044	1	2	1	1	0
1045	1	3	2	1	1
1046	3	2	2	1	1
1047	1	2	2	2	1
1048	2	2	1	2	1
1049	2	1	2	1	1
1050	3	2	1	2	0
1051	1	1	1	1	0
1052	1	1	1	2	0
1053	2	1	1	1	1
1054	3	2	1	1	1
1055	3	3	2	1	1
1056	3	3	2	2	0
1057	2	3	2	2	1
1058	1	2	1	1	0
1059	1	3	2	1	1
1060	3	2	2	1	1
1061	1	2	2	2	1
1062	2	2	1	2	1
1063	2	1	2	1	1
1064	3	2	1	2	0
1065	1	1	1	1	0
1066	1	1	1	2	0
1067	2	1	1	1	1
1068	3	2	1	1	1
1069	3	3	2	1	1
1070	3	3	2	2	0
1071	2	3	2	2	1
1072	1	2	1	1	0
1073	1	3	2	1	1
1074	3	2	2	1	1
1075	1	2	2	2	1
1076	2	2	1	2	1
1077	2	1	2	1	1
1078	3	2	1	2	0
1079	1	1	1	1	0
1080	1	1	1	2	0
1081	2	1	1	1	1
1082	3	2	1	1	1
1083	3	3	2	1	1
1084	3	3	2	2	0
1085	2	3	2	2	1
1086	1	2	1	1	0
1087	1	3	2	1	1
1088	3	2	2	1	1
1089	1	2	2	2	1
1090	2	2	1	2	1
1091	2	1	2	1	1
1092	3	2	1	2	0
1093	1	1	1	1	0
1094	1	1	1	2	0
1095	2	1	1	1	1
1096	3	2	1	1	1
1097	3	3	2	1	1
1098	3	3	2	2	0
1099	2	3	2	2	1
1100	1	2	1	1	0
1101	1	3	2	1	1
1102	3	2	2	1	1
1103	1	2	2	2	1
1104	2	2	1	2	1
1105	2	1	2	1	1
1106	3	2	1	2	0
1107	1	1	1	1	0
1108	1	1	1	2	0
1109	2	1	1	1	1
1110	3	2	1	1	1
1111	3	3	2	1	1
1112	3	3	2	2	0
1113	2	3	2	2	1
1114	1	2	1	1	0
1115	1	3	2	1	1
1116	3	2	2	1	1
1117	1	2	2	2	1
1118	2	2	1	2	1
1119	2	1	2	1	1
1120	3	2	1	2	0
1121	1	1	1	1	0
1122	1	1	1	2	0
1123	2	1	1	1	1
1124	3	2	1	1	1
1125	3	3	2	1	1
1126	3	3	2	2	0
1127	2	3	2	2	1
1128	1	2	1	1	0
1129	1	3	2	1	1
1130	3	2	2	1	1
1131	1	2	2	2	1
1132	2	2	1	2	1
1133	2	1	2	1	1
1134	3	2	1	2	0
1135	1	1	1	1	0
1136	1	1	1	2	0
1137	2	1	1	1	1
1138	3	2	1	1	1
1139	3	3	2	1	1
1140	3	3	2	2	0
1141	2	3	2	2	1
1142	1	2	1	1	0
1143	1	3	2	1	1
1144	3	2	2	1	1
1145	1	2	2	2	1
1146	2	2	1	2	1
1147	2	1	2	1	1
